UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,Air temperature [K]_rolling_mean,Process temperature [K]_rolling_mean,Rotational speed [rpm]_rolling_mean,Torque [Nm]_rolling_mean,Tool wear [min]_rolling_mean,Air temperature [K]_rolling_std,Process temperature [K]_rolling_std,Rotational speed [rpm]_rolling_std,Torque [Nm]_rolling_std,Tool wear [min]_rolling_std,Air temperature [K]_rolling_var,Process temperature [K]_rolling_var,Rotational speed [rpm]_rolling_var,Torque [Nm]_rolling_var,Tool wear [min]_rolling_var
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,1,299.06000000000006,309.43999999999994,1663.2,32.239999999999995,78.2,0.0547722557514866,0.05477225575306269,183.70138812758057,9.105108456245878,4.658325879540847,0.003000000000106257,0.003000000000278909,33746.2,82.9030000000002,21.700000000000003
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,2,299.08000000000004,309.43999999999994,1558.8,37.220000000000006,80.8,0.04472135955121842,0.05477225575306269,191.3562123370966,9.777627524098062,4.658325879540847,0.0020000000001093553,0.003000000000278909,36617.2,95.602,21.700000000000003
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,1,299.06,309.41999999999996,1616.0,34.52,83.6,0.0547722557514866,0.04472135955294774,215.13716554793595,10.95613983116317,4.505552130427526,0.003000000000106257,0.00200000000026403,46284.0,120.03700000000015,20.30000000000002
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,1,299.04,309.41999999999996,1537.6,39.260000000000005,86.4,0.05477225575146325,0.04472135955294774,196.96903309911434,10.715549449281632,3.6469165057620967,0.0030000000001036992,0.00200000000026403,38796.799999999996,114.82299999999988,13.300000000000022
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,1,299.0,309.4,1582.8,36.92,88.6,0.07071067811938038,0.07071067812040727,194.60267212964987,10.644341219634025,3.6469165057620967,0.005000000000102619,0.0050000000002478435,37870.200000000004,113.30199999999996,13.300000000000022
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,2,298.96,309.34000000000003,1556.0,37.839999999999996,90.8,0.11401754251035484,0.15165750888168958,184.60227517557848,10.091977011468067,3.492849839314601,0.013000000000100573,0.023000000000199756,34078.0,101.84799999999993,12.200000000000035
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,2,298.9,309.28000000000003,1578.6,37.92,93.2,0.10000000000046905,0.13038404810464288,156.11310002687154,10.195685361955809,3.492849839314601,0.010000000000093809,0.017000000000153826,24371.299999999996,103.95199999999994,12.200000000000035
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,2,298.88,309.23999999999995,1535.2,40.160000000000004,95.6,0.08366600265396257,0.114017542510457,99.92096877032363,7.71284642657948,3.974921382870363,0.007000000000092871,0.013000000000123869,9984.199999999988,59.48799999999985,15.80000000000004
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,1,298.84000000000003,309.18,1539.2,38.339999999999996,98.2,0.05477225575137244,0.08366600265385804,94.35147057677473,6.246038744676497,4.438468204234434,0.003000000000093752,0.007000000000075382,8902.199999999988,39.01299999999995,19.700000000000045
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,0,298.84,309.15999999999997,1482.0,41.980000000000004,100.8,0.05477225575137244,0.05477225575104026,85.27602242131131,7.2192104831484025,4.438468204234434,0.003000000000093752,0.003000000000057362,7271.99999999999,52.11699999999979,19.700000000000045
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,1,298.84000000000003,309.15999999999997,1440.2,45.540000000000006,104.0,0.05477225575137244,0.05477225575104026,89.22835872075643,7.119901684714447,4.949747468305838,0.003000000000093752,0.003000000000057362,7961.699999999992,50.69299999999963,24.50000000000005
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,1,298.84000000000003,309.14,1422.2,44.9,107.0,0.05477225575137244,0.054772255750901444,95.13516699938037,6.917008023705022,4.949747468305838,0.003000000000093752,0.0030000000000421564,9050.699999999993,47.84499999999966,24.50000000000005
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1,298.82,309.12,1379.6,47.72,109.8,0.04472135955107146,0.0447213595503103,34.818098741889905,5.458662839926966,4.658325879540852,0.0020000000000962104,0.0020000000000281303,1212.2999999999952,29.796999999999528,21.700000000000053
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,2,298.82,309.12,1365.4,49.7,112.4,0.04472135955107146,0.0447213595503103,10.573551910308726,2.687936011143019,4.219004621945803,0.0020000000000962104,0.0020000000000281303,111.79999999999333,7.224999999999445,17.800000000000047
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,0,298.8,309.12,1364.0,49.26,115.2,3.159881562224775e-07,0.0447213595503103,8.602325267042263,2.663268668384671,3.4928498393146006,9.984851487288085e-14,0.0020000000000281303,73.99999999999372,7.09299999999946,12.200000000000031
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,2,298.8,309.12,1388.4,48.26,118.0,3.159881562224775e-07,0.0447213595503103,46.870033070182394,1.9982492337042175,4.690415759823432,9.984851487288085e-14,0.0020000000000281303,2196.799999999991,3.9929999999994923,22.00000000000003
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,1,298.8,309.12,1413.8,49.0,121.0,3.159881562224775e-07,0.0447213595503103,61.20620883537872,1.1999999999997781,5.43139024560011,9.984851487288085e-14,0.0020000000000281303,3746.1999999999916,1.4399999999994673,29.50000000000003
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,2,298.78000000000003,309.1,1508.8,44.0,124.0,0.04472135955114137,0.07071067811876182,194.91972706732378,10.195096860746329,5.43139024560011,0.0020000000001024632,0.005000000000015142,37993.7,103.93999999999964,29.50000000000003
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,1,298.78,309.1,1518.8,43.44,127.2,0.04472135955114137,0.07071067811876182,187.0125664226872,9.918064327276753,4.969909455915674,0.0020000000001024632,0.005000000000015142,34973.7,98.36799999999965,24.700000000000024
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,0,298.78000000000003,309.1,1529.4,44.519999999999996,130.2,0.04472135955114137,0.07071067811876182,177.89125891959955,10.85642666810768,3.9623225512317943,0.0020000000001024632,0.005000000000015142,31645.300000000003,117.86199999999961,15.700000000000035
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,2,298.8,309.12,1517.4,43.839999999999996,133.2,0.0707106781193633,0.08366600265357482,184.62746274593064,10.728839639028987,4.658325879540855,0.005000000000100204,0.007000000000027988,34087.3,115.10799999999963,21.700000000000077
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1,298.82,309.12,1791.8,34.94,136.2,0.08366600265399994,0.08366600265357482,625.3652532720379,19.852531324745463,5.263078946776318,0.007000000000099124,0.007000000000027988,391081.7,394.1229999999999,27.70000000000012
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1,298.86,309.14,1699.8,40.760000000000005,139.2,0.054772255751402286,0.05477225575089561,649.3271132487846,20.748445724921172,5.118593556827907,0.0030000000000970205,0.003000000000041517,421625.7,430.4979999999997,26.200000000000163
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,0,298.86,309.12,1715.6,40.26,142.0,0.054772255751402286,0.08366600265357482,641.6718787667105,20.611234800467432,4.690415759823449,0.0030000000000970205,0.007000000000027988,411742.8,424.8229999999997,22.000000000000185
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,1,298.84000000000003,309.08000000000004,1743.6,36.5,145.4,0.08944271910053354,0.08366600265342365,628.7454174783304,19.164941951386126,4.505552130427543,0.008000000000096949,0.007000000000002693,395320.8,367.29499999999985,20.300000000000175
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,1,298.8,309.0400000000001,1799.4,33.7,148.2,0.10000000000048893,0.054772255750341683,603.8466692795448,18.796143221416457,4.658325879540866,0.010000000000097787,0.0029999999999808374,364630.8,353.2949999999999,21.700000000000188
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,1,298.78,309.04,1529.6,40.92,150.8,0.08366600265400545,0.054772255750341683,111.99017814076375,9.417112083860943,4.658325879540866,0.007000000000100046,0.0029999999999808374,12541.8,88.68199999999977,21.700000000000188
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1,298.76,309.03999999999996,1548.4,38.42,153.4,0.054772255751461295,0.054772255750341683,86.13245613588414,5.705874166155422,4.219004621945817,0.003000000000103485,0.0029999999999808374,7418.800000000006,32.55699999999984,17.80000000000016
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,1,298.76000000000005,309.06,1551.6,37.72,156.0,0.054772255751461295,0.05477225575044546,84.01666501355552,5.058853625081463,3.162277660168403,0.003000000000103485,0.002999999999992206,7058.800000000004,25.59199999999986,10.00000000000015
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,2,298.78000000000003,309.06000000000006,1570.8,36.6,158.0,0.044721359551113546,0.05477225575044546,97.69953940526027,6.260990336999401,3.162277660168403,0.0020000000000999748,0.002999999999992206,9545.200000000004,39.19999999999988,10.00000000000015
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,1,298.8,309.08000000000004,1508.2,41.459999999999994,160.2,3.0789966593237273e-07,0.0447213595500418,101.62529212750142,8.850028248542474,3.49284983931462,9.480220428126674e-14,0.002000000000004115,10327.700000000004,78.32299999999978,12.200000000000166
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,1,298.8,309.08000000000004,1484.4,43.839999999999996,162.4,3.0789966593237273e-07,0.0447213595500418,113.72686577937513,10.105592511080177,3.6469165057621176,9.480220428126674e-14,0.002000000000004115,12933.800000000007,102.12299999999976,13.300000000000173
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,2,298.8,309.06000000000006,1507.4,43.0,164.6,3.0789966593237273e-07,0.05477225575044546,123.09874085464888,10.42473021233642,3.6469165057621176,9.480220428126674e-14,0.002999999999992206,15153.300000000003,108.67499999999976,13.300000000000173
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,1,298.8,309.04,1570.6,39.52,167.0,3.0789966593237273e-07,0.054772255750341683,189.76116567938766,13.882254860072255,3.807886552931978,9.480220428126674e-14,0.0029999999999808374,36009.30000000001,192.71699999999973,14.500000000000181
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,2,298.82,309.04,1600.8,38.8,169.4,0.044721359550957844,0.054772255750341683,217.70323837738383,14.606334242375794,3.6469165057621176,0.0020000000000860484,0.0029999999999808374,47394.70000000001,213.3449999999997,13.300000000000173
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,1,298.86,309.03999999999996,1629.8,35.64,171.8,0.08944271910037427,0.054772255750341683,188.2729401693191,11.833553988553044,3.9623225512318085,0.008000000000068456,0.0029999999999808374,35446.70000000001,140.03299999999965,15.700000000000147
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,1,298.9,309.04,1630.0,34.14,174.2,0.10000000000024949,0.054772255750341683,187.95877207515485,9.363920119266268,3.9623225512318085,0.010000000000049896,0.0029999999999808374,35328.500000000015,87.68299999999961,15.700000000000147
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,2,298.91999999999996,309.02,1647.4,32.239999999999995,176.6,0.0836660026536513,0.08366600265323001,187.58811262977196,9.29774166128526,3.6469165057621176,0.007000000000040787,0.006999999999970293,35189.30000000001,86.44799999999958,13.300000000000173
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,0,298.91999999999996,309.0,1574.8,36.480000000000004,179.0,0.0836660026536513,0.0999999999997993,169.06418899341165,8.793861495384132,3.807886552931978,0.007000000000040787,0.009999999999959862,28582.70000000001,77.33199999999962,14.500000000000181
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,1,298.9,308.98,1517.8,37.78,182.0,0.10000000000024949,0.10954451150080487,105.008094926058,7.169170105388742,4.690415759823449,0.010000000000049896,0.01199999999994997,11026.700000000008,51.39699999999963,22.00000000000018
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,1,298.88,308.96000000000004,1495.2,43.2,184.8,0.08366600265376341,0.08944271909964377,115.26794871081904,14.470314440260088,5.118593556827906,0.007000000000059545,0.007999999999937779,13286.700000000008,209.38999999999965,26.20000000000016
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,2,298.86,308.93999999999994,1601.2,38.7,187.6,0.054772255751133085,0.054772255749822134,206.51561684289157,17.007792331751926,4.979959839195508,0.0030000000000675315,0.0029999999999239238,42648.700000000004,289.26499999999965,24.800000000000146
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1,298.86,308.97999999999996,1555.8,42.06,190.6,0.05477225575113309,0.0836660026531243,210.05761114513325,16.177546167450725,4.505552130427542,0.003000000000067532,0.006999999999952601,44124.200000000004,261.7129999999996,20.300000000000168
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1,298.88,309.02,1536.4,42.12,193.4,0.0447213595506798,0.08366600265328225,224.4132349038265,16.18755694970676,3.646916505762117,0.00200000000006118,0.006999999999979033,50361.30000000001,262.03699999999964,13.300000000000171
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,1,298.91999999999996,309.06,1549.4,42.64,195.6,0.0447213595505527,0.05477225575052525,225.61205641543185,15.835182348176467,3.646916505762117,0.0020000000000498113,0.0030000000000009464,50900.8,250.7529999999996,13.300000000000171
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,1,298.91999999999996,309.06000000000006,1587.6,35.96,197.8,0.0447213595505527,0.05477225575052525,211.85915132464777,9.42141178380393,3.4928498393146197,0.0020000000000498113,0.0030000000000009464,44884.3,88.76299999999955,12.200000000000164
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1,298.9,309.0400000000001,1478.6,40.78,200.0,0.0707106781190533,0.08944271909993293,112.34010859884367,6.628499075959774,3.1622776601684026,0.005000000000056362,0.007999999999989507,12620.29999999999,43.93699999999958,10.000000000000147
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1,298.88,309.0,1480.4,41.260000000000005,202.0,0.08366600265379058,0.09999999999980819,111.87850553167034,7.124113979997764,3.1622776601684026,0.007000000000064093,0.009999999999961639,12516.799999999992,50.75299999999958,10.000000000000147
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1,298.86,308.96000000000004,1497.6,40.64,204.0,0.08944271910039969,0.0894427190996088,95.9468602925598,6.914332939626178,3.1622776601684026,0.008000000000073004,0.007999999999931525,9205.799999999988,47.80799999999957,10.000000000000147
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,1,298.82000000000005,308.91999999999996,1458.8,43.94,164.0,0.0447213595510087,0.044721359548868446,87.04136947452048,7.4651188871979555,91.706052144883,0.002000000000090597,0.001999999999899167,7576.199999999984,55.72799999999964,8410.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1,298.8,308.9,1419.0,45.059999999999995,124.0,3.1519938013149635e-07,0.0,36.70830968595507,5.422914345626311,112.29425630903836,9.935064923527955e-14,0.0,1347.4999999999827,29.407999999999646,12610.0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,0,298.8,308.88,1432.2,45.7,84.0,3.1519938013149635e-07,0.04472135954998372,29.97832550360314,5.83780780773054,112.29425630903836,9.935064923527955e-14,0.00199999999999892,898.6999999999825,34.07999999999966,12610.0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1,298.82000000000005,308.88,1430.0,45.62,44.6,0.0447213595510087,0.04472135954998372,27.649593125396674,5.802757964968007,91.40459507048865,0.002000000000090597,0.00199999999999892,764.499999999983,33.671999999999656,8354.8
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,1,298.84000000000003,308.88,1429.6,45.519999999999996,5.2,0.05477225575126412,0.04472135954998372,27.208454568387076,5.899321994941423,4.6583258795406515,0.0030000000000818855,0.00199999999999892,740.2999999999836,34.80199999999965,21.69999999999818
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,1,298.88,308.9,1443.8,43.239999999999995,7.8,0.08366600265380418,0.07071067811865375,25.033976911389544,5.1679783281278935,4.6583258795406515,0.007000000000066368,0.004999999999999858,626.6999999999848,26.70799999999958,21.69999999999818
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,1,298.9,308.9,1447.8,45.18,10.4,0.07071067811906938,0.07071067811865375,16.99117417955525,4.430237013975621,4.219004621945582,0.005000000000058637,0.004999999999999858,288.6999999999851,19.626999999999622,17.79999999999818
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,2,298.94,308.93999999999994,1519.6,40.559999999999995,13.0,0.05477225575092035,0.05477225575055437,159.8821440937042,8.475435092076369,3.1622776601680918,0.0030000000000442277,0.0030000000000041356,25562.299999999992,71.83299999999956,9.999999999998181
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,0,298.96,308.96,1516.8,39.839999999999996,15.2,0.054772255750839924,0.05477225575057772,161.51996780584125,7.869752219733448,3.492849839314336,0.003000000000035417,0.0030000000000066935,26088.69999999999,61.932999999999545,12.199999999998182
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,1,298.98,308.97999999999996,1535.0,38.040000000000006,18.0,0.0447213595502993,0.04472135955010527,157.61345120261782,8.591449237468584,4.690415759823235,0.0020000000000271463,0.0020000000000097917,24841.99999999999,73.81299999999952,21.99999999999818
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,2,298.98,308.97999999999996,1525.0,39.06,20.8,0.0447213595502993,0.04472135955010527,164.29242222330276,9.179760345455623,5.118593556827713,0.0020000000000271463,0.0020000000000097917,26991.99999999999,84.26799999999955,26.19999999999818
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,2,298.97999999999996,308.98,1538.0,37.44,23.8,0.0447213595502993,0.04472135955010527,156.49121381087178,7.9248343831274815,5.263078946776134,0.0020000000000271463,0.0020000000000097917,24489.49999999999,62.80299999999953,27.699999999998177
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1,298.96,308.96,1527.8,37.24,27.0,0.054772255750819815,0.05477225575057772,135.0062961494759,8.265772801135991,4.949747468305648,0.003000000000033214,0.0030000000000066935,18226.69999999999,68.32299999999952,24.499999999998174
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1,298.93999999999994,308.94,1606.6,33.44,30.0,0.054772255750860026,0.05477225575055437,176.60492631860527,8.78936857800374,4.123105625617439,0.0030000000000376193,0.0030000000000041356,31189.299999999996,77.2529999999995,16.999999999998174
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,2,298.91999999999996,308.91999999999996,1643.2,32.5,32.4,0.04472135955045103,0.04472135955001947,179.329863659124,9.24797275082488,3.9749213828701286,0.0020000000000407175,0.0020000000000021177,32159.199999999997,85.5249999999995,15.799999999998176
